Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-08-17,Widget A,East,731,36,Female,1.58805982
2022-08-18,Widget A,North,274,43,Female,3.843577322
2022-08-19,Widget B,East,122,28,Male,4.893466265
2022-08-20,Widget D,South,824,57,Female,4.162270211
2022-08-21,Widget D,West,334,67,Female,1.971781447
2022-08-22,Widget D,West,112,60,Male,4.633461042
2022-08-23,Widget D,West,200,28,Male,1.372428626
2022-08-24,Widget D,South,635,62,Female,2.872567767
2022-08-25,Widget B,East,975,20,Female,4.550167631
2022-08-26,Widget B,South,622,29,Female,3.565062837
2022-08-27,Widget C,West,884,20,Female,2.654578259
2022-08-28,Widget D,South,551,59,Male,2.171251467
2022-08-29,Widget B,South,530,44,Male,2.500397621
2022-08-30,Widget C,South,892,66,Female,3.035767124
2022-08-31,Widget D,East,705,19,Female,2.276175719
2022-09-01,Widget A,North,812,66,Female,4.875871448
2022-09-02,Widget C,North,632,33,Female,4.732310612
2022-09-03,Widget B,South,951,19,Female,4.482685873
2022-09-04,Widget A,North,822,47,Male,2.687319342
2022-09-05,Widget A,North,751,37,Male,3.765207077
2022-09-06,Widget A,South,392,55,Male,4.611317228
2022-09-07,Widget C,South,909,45,Female,4.401717951
2022-09-08,Widget B,West,200,42,Female,2.657308056
2022-09-09,Widget A,North,601,49,Male,1.449544197
2022-09-10,Widget D,East,403,27,Male,1.302521455
2022-09-11,Widget A,South,970,59,Female,3.308256181
2022-09-12,Widget A,West,639,57,Male,3.570511741
2022-09-13,Widget C,East,652,50,Female,4.399370418
2022-09-14,Widget C,North,454,30,Female,2.170060081
2022-09-15,Widget B,West,402,58,Male,1.669881962
2022-09-16,Widget D,South,595,59,Male,2.516023333
2022-09-17,Widget C,East,757,64,Male,2.414300495
2022-09-18,Widget A,South,867,54,Female,1.529875816
2022-09-19,Widget B,North,326,33,Female,3.68913061
2022-09-20,Widget A,East,335,62,Male,3.034767763
2022-09-21,Widget A,North,972,39,Female,3.884491024
2022-09-22,Widget C,North,991,37,Female,2.410764481
2022-09-23,Widget B,West,554,67,Female,2.302808846
2022-09-24,Widget D,South,112,60,Male,2.890303412
2022-09-25,Widget D,East,309,44,Female,4.509629382
2022-09-26,Widget C,North,840,58,Male,1.161125227
2022-09-27,Widget C,North,496,33,Male,4.219331269
2022-09-28,Widget B,East,199,51,Female,2.475950451
2022-09-29,Widget D,North,130,49,Male,4.418476103
2022-09-30,Widget D,West,997,43,Female,4.208812035
2022-10-01,Widget D,West,627,42,Male,2.39504499
2022-10-02,Widget A,West,748,19,Male,3.775506141
2022-10-03,Widget D,West,428,29,Female,1.638531027
2022-10-04,Widget A,North,265,57,Male,4.585126209
2022-10-05,Widget B,East,558,26,Male,2.617964258
2022-10-06,Widget A,East,921,29,Male,2.822502461
2022-10-07,Widget B,East,199,43,Female,3.823036204
2022-10-08,Widget D,East,720,26,Female,4.283360947
2022-10-09,Widget D,South,954,27,Male,1.945370973
2022-10-10,Widget B,East,272,49,Male,3.64540056
2022-10-11,Widget C,South,848,51,Male,2.567992176
2022-10-12,Widget B,South,261,65,Female,2.474811696
2022-10-13,Widget C,West,827,37,Female,3.760103296
2022-10-14,Widget A,South,875,56,Male,2.548733097
2022-10-15,Widget A,North,362,19,Female,2.384434001
2022-10-16,Widget A,South,903,18,Female,4.343553633
2022-10-17,Widget D,West,373,68,Female,1.405104495
2022-10-18,Widget A,South,102,53,Female,3.703570491
2022-10-19,Widget C,North,127,41,Male,1.994901575
2022-10-20,Widget A,North,425,44,Female,1.061992967
2022-10-21,Widget B,North,248,19,Female,1.667057075
2022-10-22,Widget B,West,639,48,Male,3.426646119
2022-10-23,Widget D,West,587,31,Male,3.836508766
2022-10-24,Widget B,East,921,19,Female,1.084231134
2022-10-25,Widget C,West,537,46,Female,1.145701773
2022-10-26,Widget A,North,164,32,Male,4.610168459
2022-10-27,Widget D,North,455,29,Male,1.293223272
2022-10-28,Widget A,West,632,54,Male,4.576728634
2022-10-29,Widget A,South,351,45,Female,1.912663655
2022-10-30,Widget C,West,334,37,Female,3.960071201
2022-10-31,Widget B,West,326,56,Male,2.238932996
2022-11-01,Widget B,North,624,41,Female,4.435008102
2022-11-02,Widget A,East,412,38,Male,3.801819462
2022-11-03,Widget D,North,148,27,Female,2.607253834
2022-11-04,Widget B,East,217,63,Male,1.305209817
2022-11-05,Widget D,North,153,31,Male,3.930800735
2022-11-06,Widget B,West,749,54,Female,3.467539024
2022-11-07,Widget D,North,664,35,Female,1.011646871
2022-11-08,Widget C,North,143,41,Female,1.037679424
2022-11-09,Widget D,North,914,31,Female,4.235171893
2022-11-10,Widget C,West,152,51,Female,2.037598955
2022-11-11,Widget C,West,685,29,Female,3.544534671
2022-11-12,Widget D,West,657,39,Male,2.816857679
2022-11-13,Widget C,West,624,23,Female,4.453720058
2022-11-14,Widget A,East,776,53,Male,4.667844452
2022-11-15,Widget C,East,201,62,Male,4.987230851
2022-11-16,Widget B,South,891,53,Female,1.614736543
2022-11-17,Widget D,West,869,39,Male,4.451856186
2022-11-18,Widget A,East,948,31,Male,2.064085507
2022-11-19,Widget D,North,967,33,Female,3.3632635
2022-11-20,Widget B,West,497,53,Female,3.023091335
2022-11-21,Widget B,South,237,42,Female,1.071952526
2022-11-22,Widget B,South,774,49,Male,4.73108512
2022-11-23,Widget C,South,486,50,Female,1.313308221
2022-11-24,Widget C,North,210,62,Female,3.752875678
2022-11-25,Widget D,East,713,53,Female,4.140027345
2022-11-26,Widget D,North,116,37,Female,4.181151396
2022-11-27,Widget A,West,879,35,Male,1.541978076
2022-11-28,Widget A,South,281,55,Female,2.790279802
2022-11-29,Widget D,North,983,20,Male,4.317715482
2022-11-30,Widget C,North,635,40,Female,2.210716842
2022-12-01,Widget B,East,640,49,Male,2.870994701
2022-12-02,Widget D,East,270,62,Male,2.091175571
2022-12-03,Widget A,South,508,33,Male,2.854205672
2022-12-04,Widget C,North,839,22,Female,4.55135169
2022-12-05,Widget D,North,477,21,Male,2.820496924
2022-12-06,Widget D,East,287,38,Female,3.223648068
2022-12-07,Widget C,North,957,57,Female,2.615905133
2022-12-08,Widget D,North,329,68,Female,2.840468733
2022-12-09,Widget C,North,932,31,Female,1.060696796
2022-12-10,Widget B,East,951,56,Female,2.13498204
2022-12-11,Widget C,South,218,48,Male,2.746326887
2022-12-12,Widget C,West,255,31,Female,3.535187904
2022-12-13,Widget C,South,883,23,Male,2.800207722
2022-12-14,Widget D,West,786,29,Male,2.351268173
2022-12-15,Widget D,North,564,33,Male,2.552394941
2022-12-16,Widget C,South,203,34,Male,1.969173317
2022-12-17,Widget D,West,703,62,Male,4.697977131
2022-12-18,Widget A,East,797,40,Male,3.086972903
2022-12-19,Widget A,East,894,31,Male,1.053637815
2022-12-20,Widget D,South,601,24,Female,1.077785034
2022-12-21,Widget D,South,792,63,Male,4.89184654
2022-12-22,Widget C,North,781,49,Female,1.885803565
2022-12-23,Widget B,South,798,32,Male,4.222433155
2022-12-24,Widget D,North,274,61,Male,1.233101206
2022-12-25,Widget A,North,833,34,Male,4.684650947
2022-12-26,Widget C,East,844,58,Male,4.497668015
2022-12-27,Widget D,East,773,64,Female,3.28437265
2022-12-28,Widget A,West,520,61,Female,1.035994629
2022-12-29,Widget A,East,233,51,Female,2.031243496
2022-12-30,Widget B,East,490,22,Male,2.62729059
2022-12-31,Widget C,South,835,62,Male,2.840256467
2023-01-01,Widget C,East,600,44,Male,2.190715034
2023-01-02,Widget B,West,764,69,Female,1.131791473
2023-01-03,Widget B,South,132,40,Male,3.360509624
2023-01-04,Widget C,West,154,57,Female,3.096618671
2023-01-05,Widget C,East,618,31,Female,2.132002542
2023-01-06,Widget D,West,855,32,Male,1.15190387
2023-01-07,Widget D,South,924,60,Male,4.978376749
2023-01-08,Widget B,North,737,50,Female,2.927944747
2023-01-09,Widget D,West,111,48,Female,4.024016967
2023-01-10,Widget A,West,627,52,Female,2.80925614
2023-01-11,Widget D,South,819,34,Male,1.172681163
2023-01-12,Widget D,South,654,45,Male,2.23840298
2023-01-13,Widget A,West,472,36,Male,2.280440564
2023-01-14,Widget B,East,583,63,Male,4.353411616
2023-01-15,Widget A,West,746,40,Male,3.616919912
2023-01-16,Widget D,South,327,49,Male,2.101719615
2023-01-17,Widget B,North,722,57,Female,4.870959819
2023-01-18,Widget D,North,406,30,Female,2.28616733
2023-01-19,Widget A,East,556,37,Female,4.992936103
2023-01-20,Widget A,West,259,52,Male,4.984654773
2023-01-21,Widget D,North,430,22,Female,1.764842071
2023-01-22,Widget C,West,875,26,Male,2.250964465
2023-01-23,Widget C,South,324,46,Male,2.944176794
2023-01-24,Widget A,North,828,23,Female,3.656402685
2023-01-25,Widget A,East,603,42,Male,3.112189796
2023-01-26,Widget C,South,555,48,Female,4.877765877
2023-01-27,Widget C,East,144,39,Female,3.895956657
2023-01-28,Widget D,South,313,19,Male,1.848179398
2023-01-29,Widget D,North,158,62,Female,1.420390201
2023-01-30,Widget C,East,743,22,Female,3.753605163
2023-01-31,Widget D,East,715,44,Female,1.633809761
2023-02-01,Widget D,South,294,42,Female,4.150707361
2023-02-02,Widget B,East,588,25,Male,2.244146669
2023-02-03,Widget D,South,256,18,Female,2.307573052
2023-02-04,Widget A,South,709,37,Female,1.04319357
2023-02-05,Widget D,South,325,61,Female,3.804045068
2023-02-06,Widget D,South,511,40,Male,1.453079012
2023-02-07,Widget C,North,304,49,Female,4.09152231
2023-02-08,Widget A,South,178,28,Male,2.967471288
2023-02-09,Widget D,West,223,56,Female,4.13711926
2023-02-10,Widget D,East,570,64,Female,3.335706157
2023-02-11,Widget B,West,317,41,Female,1.329733088
2023-02-12,Widget D,North,615,28,Male,4.062609347
2023-02-13,Widget D,West,701,46,Male,1.27919794
2023-02-14,Widget B,East,203,43,Male,2.914806882
2023-02-15,Widget C,West,492,33,Male,1.689396857
2023-02-16,Widget D,North,730,52,Male,4.009340712
2023-02-17,Widget B,South,744,37,Male,4.646364911
2023-02-18,Widget A,West,923,63,Female,3.216504653
2023-02-19,Widget C,North,707,20,Male,3.108589177
2023-02-20,Widget A,North,533,18,Female,4.055852785
2023-02-21,Widget A,East,430,64,Male,1.020315252
2023-02-22,Widget B,East,242,18,Male,4.671034571
2023-02-23,Widget D,West,899,34,Male,1.789795268
2023-02-24,Widget B,South,639,19,Female,4.936475535
2023-02-25,Widget B,North,377,46,Male,3.945015792
2023-02-26,Widget B,West,332,37,Male,4.097004591
2023-02-27,Widget B,North,628,23,Female,3.624811921
2023-02-28,Widget C,North,670,25,Female,2.886652731
2023-03-01,Widget D,South,189,46,Female,3.286510773
2023-03-02,Widget A,South,591,65,Female,1.185611544
2023-03-03,Widget A,West,298,68,Male,3.495838038
2023-03-04,Widget D,South,461,50,Female,3.504392408
2023-03-05,Widget A,South,540,20,Male,4.56480319
2023-03-06,Widget D,West,125,52,Male,3.02262543
2023-03-07,Widget A,South,124,22,Female,1.308577496
2023-03-08,Widget B,East,493,44,Male,2.224783682
2023-03-09,Widget A,North,606,61,Female,3.622517648
2023-03-10,Widget D,North,400,29,Male,1.957035451
2023-03-11,Widget D,North,438,37,Female,2.122111287
2023-03-12,Widget D,North,366,62,Female,4.281876065
2023-03-13,Widget D,West,560,37,Female,3.337278927
2023-03-14,Widget D,North,792,26,Female,3.034109727
2023-03-15,Widget C,North,555,56,Female,2.273807867
2023-03-16,Widget C,North,459,21,Female,3.923712144
2023-03-17,Widget A,North,167,68,Male,2.150873738
2023-03-18,Widget D,East,962,36,Male,3.948254071
2023-03-19,Widget A,North,511,55,Male,1.280405921
2023-03-20,Widget D,East,590,44,Female,4.458165366
2023-03-21,Widget D,West,932,62,Male,2.998265854
2023-03-22,Widget C,South,148,60,Female,2.754032067
2023-03-23,Widget C,North,786,30,Male,3.444093646
2023-03-24,Widget B,South,663,30,Male,3.496768292
2023-03-25,Widget C,South,201,39,Female,1.528140708
2023-03-26,Widget B,West,315,45,Male,4.024934359
2023-03-27,Widget B,South,537,69,Male,2.103713192
2023-03-28,Widget B,East,799,64,Male,4.619847521
2023-03-29,Widget B,South,668,62,Female,4.271402654
2023-03-30,Widget B,South,658,39,Male,2.385064166
2023-03-31,Widget A,South,258,60,Female,4.230957173
2023-04-01,Widget C,North,588,36,Male,2.425561997
2023-04-02,Widget B,North,785,25,Male,1.403790727
2023-04-03,Widget D,East,341,69,Male,4.847552955
2023-04-04,Widget C,East,893,25,Male,3.610408061
2023-04-05,Widget C,North,852,59,Female,2.824398107
2023-04-06,Widget B,East,981,43,Male,2.591093406
2023-04-07,Widget A,North,104,65,Female,2.298821337
2023-04-08,Widget B,West,695,68,Female,4.925790382
2023-04-09,Widget A,South,919,43,Male,1.538989061
2023-04-10,Widget D,South,460,40,Male,2.259220236
2023-04-11,Widget C,East,558,60,Female,2.941990561
2023-04-12,Widget D,North,347,30,Female,2.91199818
2023-04-13,Widget A,North,665,45,Male,2.885465938
2023-04-14,Widget A,East,772,26,Male,1.703135263
2023-04-15,Widget D,North,521,37,Male,1.579730108
2023-04-16,Widget A,West,837,36,Male,2.019070345
2023-04-17,Widget D,South,114,65,Male,4.658104615
2023-04-18,Widget C,East,835,56,Female,1.452211871
2023-04-19,Widget D,East,672,68,Male,4.029700413
2023-04-20,Widget C,North,221,29,Male,4.030193573
2023-04-21,Widget D,East,376,32,Female,4.239081616
2023-04-22,Widget A,West,657,48,Male,4.546461956
2023-04-23,Widget D,North,552,31,Male,2.05214471
2023-04-24,Widget A,North,489,28,Female,1.898237877
2023-04-25,Widget D,North,393,43,Male,2.862022666
2023-04-26,Widget D,North,673,59,Female,2.060356675
2023-04-27,Widget B,West,697,44,Male,3.937239956
2023-04-28,Widget A,North,545,28,Male,3.543758307
2023-04-29,Widget B,East,309,55,Male,4.499950752
2023-04-30,Widget A,West,689,51,Female,1.330953214
2023-05-01,Widget B,South,813,60,Female,4.660333333
2023-05-02,Widget C,South,401,36,Female,2.173394507
2023-05-03,Widget D,East,322,23,Female,2.962777384
2023-05-04,Widget A,East,833,63,Male,2.754445744
2023-05-05,Widget A,West,102,69,Female,4.041246604
2023-05-06,Widget D,South,617,55,Female,2.681333238
2023-05-07,Widget A,South,192,66,Female,4.774212583
2023-05-08,Widget A,South,619,59,Male,4.610135531
2023-05-09,Widget B,South,527,45,Male,4.488644608
2023-05-10,Widget A,South,592,18,Female,1.285033331
2023-05-11,Widget C,North,334,52,Female,4.417032246
2023-05-12,Widget C,East,719,57,Male,4.126541782
2023-05-13,Widget D,North,260,25,Female,1.414051788
2023-05-14,Widget A,South,820,69,Female,1.429657302
2023-05-15,Widget D,West,851,64,Female,1.404655246
2023-05-16,Widget C,West,430,24,Female,1.045330373
2023-05-17,Widget A,South,432,28,Male,3.194537221
2023-05-18,Widget A,South,149,56,Male,4.893577166
2023-05-19,Widget D,West,622,21,Male,2.754738812
2023-05-20,Widget C,North,962,42,Female,3.163030008
2023-05-21,Widget A,North,767,29,Female,4.871879187
2023-05-22,Widget D,South,591,43,Male,2.020728915
2023-05-23,Widget C,North,681,55,Male,4.43388101
2023-05-24,Widget D,West,780,63,Male,3.185561869
2023-05-25,Widget B,North,371,29,Female,3.277906059
2023-05-26,Widget A,South,679,60,Male,2.372695429
2023-05-27,Widget B,West,966,68,Female,3.246337444
2023-05-28,Widget C,North,351,54,Female,1.292570038
2023-05-29,Widget B,East,659,63,Male,4.05857429
2023-05-30,Widget B,West,795,41,Male,2.138751046
